Comment,Designator,Footprint,LCSC
10u,"C17,C19,C3,C5",C_0805_2012Metric,C1046
10k,R2,C_0402_1005Metric,C11616
1k,"R1,R8",C_0402_1005Metric,C11702
100n,"C11,C12,C13,C14,C15,C16,C4,C6,C7,C9",C_0402_1005Metric,C1525
30p,C18,C_0402_1005Metric,C1570
SMF05CT1G,U4,SOT65P210X110-6N,C15879
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
NCP1117-3.3_SOT223,U1,SOT-223-3_TabPin2,C185806
RP2040,U3,RP2040-QFN-56,C2040
27,"R4,R5",C_0402_1005Metric,C25100
5.1k,"R6,R7",R_0805_2012Metric,C27834
SW_Push_Open,"SW7,SW8",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,C329185
USB_A,J1,USB_A_TE_292303-7_Horizontal,C42641
1u,"C10,C8",C_0402_1005Metric,C52923
SW_Push_Open,"SW1,SW2,SW3,SW4,SW5,SW6",SW_PUSH_6mm_H13mm,C557902
Crystal_GND24,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
MountingHole,H4,MountingHole_2.2mm_M2,
MountingHole,H1,MountingHole_2.2mm_M2,
MountingHole,H3,MountingHole_2.2mm_M2,
MountingHole,H2,MountingHole_2.2mm_M2,
