Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,10u,C_0805_2012Metric,29.475,-54.975,90.0,top
C4,100n,C_0402_1005Metric,40.775,-54.725,90.0,top
C5,10u,C_0805_2012Metric,26.775,-73.575,180.0,top
C6,100n,C_0402_1005Metric,27.175,-66.175,180.0,top
C7,100n,C_0402_1005Metric,38.925,-64.0,0.0,top
C8,1u,C_0402_1005Metric,27.725,-62.15,180.0,top
C9,100n,C_0402_1005Metric,27.175,-65.175,180.0,top
C10,1u,C_0402_1005Metric,27.725,-61.15,180.0,top
C11,100n,C_0402_1005Metric,31.575,-70.375,0.0,top
C12,100n,C_0402_1005Metric,34.075,-60.175,90.0,top
C13,100n,C_0402_1005Metric,34.975,-71.195,0.0,top
C14,100n,C_0402_1005Metric,38.925,-65.1,0.0,top
C15,100n,C_0402_1005Metric,29.3,-60.2,90.0,top
C16,100n,C_0402_1005Metric,30.8,-60.025,180.0,top
C17,10u,C_0805_2012Metric,26.775,-75.675,180.0,top
C18,30p,C_0402_1005Metric,39.375,-68.9,90.0,top
C19,30p,C_0402_1005Metric,38.925,-67.3,180.0,top
J1,USB_A,USB_A_TE_292303-7_Horizontal,77.085,-65.4,90.0,top
R1,1k,C_0402_1005Metric,26.975,-78.375,180.0,top
R2,10k,C_0402_1005Metric,26.975,-77.275,0.0,top
R4,27,C_0402_1005Metric,27.175,-64.175,0.0,top
R5,27,C_0402_1005Metric,27.175,-63.175,0.0,top
R6,5.1k,R_0805_2012Metric,26.275,-69.575,-90.0,top
R7,5.1k,R_0805_2012Metric,25.25,-52.725,0.0,top
R8,1k,R_0402_1005Metric,38.925,-66.2,180.0,top
SW1,SW_Push_Open,SW_PUSH_6mm_H13mm,45.825,-70.9,-90.0,top
SW2,SW_Push_Open,SW_PUSH_6mm_H13mm,54.35,-70.9,-90.0,top
SW3,SW_Push_Open,SW_PUSH_6mm_H13mm,62.875,-70.9,-90.0,top
SW4,SW_Push_Open,SW_PUSH_6mm_H13mm,45.825,-59.9,-90.0,top
SW5,SW_Push_Open,SW_PUSH_6mm_H13mm,54.35,-59.9,-90.0,top
SW6,SW_Push_Open,SW_PUSH_6mm_H13mm,62.875,-59.9,-90.0,top
SW7,SW_Push_Open,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,19.725,-73.575,0.0,top
SW8,SW_Push_Open,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,19.725,-57.575,0.0,top
U1,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,35.075,-54.575,0.0,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,33.775,-76.275,180.0,top
U3,RP2040,RP2040-QFN-56,33.075,-65.35,90.0,top
U4,SMF05CT1G,SOT65P210X110-6N,24.475,-64.4,-90.0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,13.675,-65.575,-90.0,top
Y2,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,39.65,-60.4,180.0,top
